Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice|Harwood, Henrick|0. out of print GPO|11-19-98|perfect binding|paper||DHHS Publication NIH 98-4327. By Henrick Harwood, et al. Quantifies the effects of alcohol and drug abuse disorders in dollar terms. Reviews research evidence. Analyzes available data bases. Discusses findings with topical experts.|||0-16-049756-6||HHS Publication NIH 98 4327, Alcohol and Drug Abuse in the United States, Alcoholism, Drug Abuse||NB1269|24.00||Health and Human Services Dept., National Institutes of Health, National Institute on Drug Abuse, National Institute on Alcohol Abuse and Alcoholism, Office of Policy Analysis|discount||9/8/2003|017-024-01629-2|163DD|HE 20.8302:EC 7|Economic Costs of Alcohol and Drug Abuse in the United States, 1992|each||1.56|1998: 252 p.; ill.|
||||||govtprintingoffice|Condon-Rall, Mary Ellen|0. out of print GPO|06-25-96|perfect binding|paper||CMH Pub. 70-55. Describes the disaster which caused the deaths or injuries of over 100 paratroopers on Green Ramp at Pope Air Force Base when two aircraft attempted to land simultaneously on March 23, 1994, as well as the Army's response to these events.|||0-16-048642-4||Center of Military History Publication 70 55, Green Ramp, Army's Response, Military History, Army History, Accidents, Explosions, Disasters, Emergency Management||DSL 96-0293-P 07/11/96. NB1255|9.00||Defense Dept., Army, Center of Military History|discount||12/20/2000|008-029-00328-7|098NA|D 114.2:D 63/3|Disaster on Green Ramp: The Army's Response|each||0.81|1996: 161 p.; ill.|
cstudy||||||govtprintingoffice|Metz, Helen Chapin|Available at Claitors|11-25-92|casebound|cloth||DA Pam 550-27. Area Handbook Series. 4th edition. Edited by Helen Chapin Metz. Prepared by the Library of Congress, Federal Research Division. Research completed June 1991. Describes and analyzes the history, politics, economics, and national security sys|||0-8444-0750-X|1057-5294|Army Department Pamphlet 550 27, Area Handbook Series, Sudan, Country Study||Supersedes S/N 008-020-00955-5. DSL 92-0647-P 11/20/92. NB1233|38.00||Defense Dept., Army|discount|ZCS|9/22/2005|008-020-01284-0|166RG 284EN|D 101.22:550-27/992|Sudan: A Country Study|each||1.62|1992: 370 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|10-13-98|perfect binding|paper||RUS Informational Publication 201-1. 1997 Statistical Report Rural Electric Borrowers. Contains financial and statistical information about the operations of the Rural Utilities Service electric borrowers individually and as a group. Data are based on a c|||0-16-060844-9||RUS Informational Publication 201 1, REA Borrowers, Annual Reports, Agriculture Department, Annual Report of Rural Utilities Service, Rural Electric Borrowers, Electric Borrowers, Annual Statistical Report on Rural Electric Borrowers||NB1268|17.00||Agriculture Dept., Rural Utilities Service|discount||3/29/2000|001-010-00135-9|900|A 68.1/2:997|Statistical Report, Rural Electric Borrowers, 1997|each||1.12|1998: 208 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|04-04-97|paper cover / stitch|paper||57th Annual Report of the Foreign-Trade Zones Board to the Congress of the United States for the Fiscal Year Ended September 30, 1995. Reports on the activities of the Foreign-Trade Zones Board for 1995. Includes Board orders, applications filed, administ|||0-16-054567-6||Annual Reports, Foreign Trade Zones Board, Foreign Trade, Exports||NB1259|5.00||Foreign-Trade Zones Board|discount||4/26/2000|003-009-00669-4|900|FTZ 1.1:995|Foreign-Trade Zones Board Annual Report to Congress, 1995|each||0.37|1997: 54 p.; ill.|
||||||govtprintingoffice|Barton, David R.|0. out of print GPO|09-08-97|perfect binding|paper||Provides data on United States international trade in goods and services. Emphasis is on: goods trade; aggregate exports and imports; United States commodity and country/regional trade balances; and shifts in the commodity composition of United States exp|||0-16-054693-1||Annual Reports, Commerce Department, Foreign Trade, Annual Reports, International Trade Administration, International Trade, Exports, Imports||NB1262|21.00||Commerce Dept., International Trade Administration, Office of Trade and Economic Analysis|discount||10/4/2005|003-009-00670-8|118RU 123SD 317KB|C 61.28/2:996|United States Foreign Trade Highlights, 1996|each||1.12|1997: 176 p.; ill.|
||||||govtprintingoffice||0. superseded|02-14-01|self cover / stitch|paper|021-599-00201-1||||||SB 599, Subject Bibliography Index||Supersedes GP 3.22/2:2000/IND.|0.00||Government Printing Office, Superintendent of Documents|||2/20/2002|021-599-00101-4|925||Subject Bibliography Index, 2001, January 2001|each||2.00||
||||||govtprintingoffice||0. out of print GPO|11-07-96|self cover / stitch|paper||RI 83-5. Retirement Facts No. 5. Publication measures 9 x 4 in. Describes survivor annuities upon the death of a current Federal employee under the Civil Service Retirement System for: surviving spouse; children; and former spouse. Contains information ab|||0-16-061093-1||RI 83 5, Retirement Facts No. 5, Civil Service Retirement System, Federal Employees, Government Employees, Retirement, Annuities, Children||DSL 97-0054-P 11/13/96. NB1257|2.00||Office of Personnel Management, Retirement and Insurance Service|discount||2/8/2002|006-000-01428-3|285PC 300NB||Survivor Benefits Under the Civil Service Retirement System|each||0.12|1996: 6 p.; revised ed.|
||||||govtprintingoffice||0. see special note||paper cover / stitch|paper|||||0-16-061094-X||Senior Executive Service||PUBLICATION ORDERED. STOCK NEVER RECEIVED.|0.00||Office of Personnel Management|discount||08-18-98|006-000-01430-5|900||Status of the Senior Executive Service, 1995|each||2.00||
||||||harrison|Palmer|Available at Claitors|||||Forms disks, WordPerfect 5.1 or ASCII version. One 3 1/2'' disk.||Disk|||||LA|22.00||||||LA-PAL-1997-F1|||Lease, The Civil Law of in LA, with Forms, Palmer|||2.00|1997|
||||||govtprintingoffice||0. out of print GPO|10-01-99|paper cover / stitch|paper||RI 20-63B. Publication measures 9 x 4 in. Provides information government employees need to know to provide survivor annuity benefits for spouses. Applies only to annuitants who retired under the Civil Service Retirement System (CSRS) after May 6, 1985, o|||||RI 20 63B, Information on Court Ordered Benefits for Former Spouses, Annuities, Civil Service Retirement System, Federal Employees Retirement System, Government Employees, Federal Employees||NB1274|2.00||Office of Personnel Management, Retirement and Insurance Service|discount||4/5/2002|006-000-01488-7|285NI 300ME|PM 1.10:RI 20-63 B|Information on Electing a Survivor Annuity for Your Spouse When You Are Providing a Former Spouse Survivor Annuity|each||0.12|1999: 9 p.|
||||||govtprintingoffice||0. superseded|08-28-00|specialty item||017-022-01510-2|DHHS Publication PHS 00-1260. NCHS CD-ROM 2000, No. 1. Official Version ICD-9-CM International Classification of Diseases, Ninth Revision, Clinical Modification, Sixth Edition. Contains the complete October 1, 2000 version of the 'International Classifica|||0-16-050511-9||Diseases||Superseded by S/N 017-022-01510-2. NB1280.|22.00||Health and Human Services Dept., Centers for Disease Control and Prevention, and Health Care Financing Administration|discount||8/30/2000|017-022-01499-8|900||ICD-9-CM, International Classification of Diseases, 9th Revision: Clinical Modification, 6th Edition (CD-ROM) 2000|each||0.31|2000: CD-ROM and booklet in plastic case|
cstudy||||||govtprintingoffice|Metz, Helen Chapin|Available at Claitors|12-13-94|casebound|cloth||DA Pam 550-185. Area Handbook Series. 3d edition. Edited by Helen Chapin Metz. Prepared by Library of Congress, Federal Research Division. Research completed January 1993. Describes the history, politics, economics, sociology, and national security system|||0-16-061169-5||Army Department Pamphlet 550 185, Area Handbook Series, Persian Gulf States, Country Study, Kuwait, Bahrain, Qatar, United Arab Emirates, Oman||Supersedes S/N 008-020-01051-1. DSSL 94-9099- P 12/14/94. NB1245|38.00||Defense Dept., Army|discount|ZCS|6/25/2002|008-020-01340-4|166PB 286CI|D 101.22:550-185/994|Persian Gulf States: Country Studies|each||2.12|1994: 502 p.; ill.|
treatis lalaw|||||LAprac1.jpg||Yiannopoulos|Available at Claitors|||||Authored by A.N. Yiannopoulos,recognizedas the leading authority on Louisiana property law, this volume covers vital legal and practical analysis of acquisition, exercise, transfer, and loss of possession; all laws relating to the sea, the seashore, river||||||||600.00||||||LACID02|||LA Property(Civil Law Treatise Series) Vol.  2, 5th edition|Louisiana|3|||
||||||govtprintingoffice||0. out of print GPO|12-29-00|paper cover / stitch|paper||RI 83-9, Retirement Facts No. 5. Revised October 1997. Publication measures 9 x 4 in. Written for Federal employees who are covered by the Civil Service Retirement System (CSRS) and who want information about survivor benefits under CSRS. Item 0299.|||0-16-050602-6||RI 83 5, Retirement Facts No. 5, Civil Service Retirement System, Federal Employees, Government Employees, CSRS Benefits, Old Age Pensions, Civil Service Retirement, Retirement Income||NB1282|2.00||Office of Personnel Management, Retirement and Insurance Service|discount||9/29/2003|006-000-01511-5|900||Survivor Benefits Under the Civil Service Retirement System, Retirement Facts 5|each||0.06|1997: 9 p. Revised ed.|
||||||govtprintingoffice|Nguyen, Tinh|0. out of print GPO|11-08-00|paper cover / stitch|paper||NIST Technical Note 1434. By Tinh Nguyen, et al. Presents the development of a fatigue model for fiber-reinforced polymeric composites. Includes results of the fatigue experiments for a glass fiber/vinyl ester composite subjected to different loading and|||||NIST Technical Note 1434, Fiber Reinforced Polymeric Composites||NB1281|6.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology|discount||6/21/2002|003-003-03657-9|900||Fatigue Model for Fiber-Reinforced Polymeric Composites for Offshore Applications|each||0.31|2000: 44 p.; ill.|
cstudy||||||govtprintingoffice|LePoer, Barbara Leitch|Available at Claitors|08-16-91|casebound|cloth||DA Pam 550-184. Area Handbook Series. 2d edition. Edited by Barbara Leitch LePoer. Prepared by Library of Congress, Federal Research Division. Research completed Dec. 1989. Describes the history, politics, economics, sociology, and national security syste|||0-16-034264-3||Army Department Pamphlet 550 184, Area Handbook Series, Singapore, Country Study||Supersedes D 101.22:550-184, S/N 008-020-00651- 3. NB1226|38.00||Defense Dept., Army|discount|ZCS|10/24/2003|008-020-01250-5|900|D 101.22:550-184/991|Singapore: A Country Study|each||1.68|1991: 358 p.; ill.|
||||||govtprintingoffice||0. superseded|06-23-99|self cover / stitch|paper|021-085-00007-3|SB-085. Subject Bibliography 085. June 16, 1999. Issued with perforations. This bibliography lists publications relating to thissubject which are for sale by the Superintendent of Documents. Whenordering, use the SB Number and the Stock Number. Item 552-A|||||||Supersedes GP 3.22/2:085/998, S/N 021-085-00805- 8. Superseded by GP 3.22/2:085/000, S/N 021-085- 00007-3.|0.00||Government Printing Office, Superintendent of Documents|||8/1/2000|021-085-00906-2|925|GP 3.22/2:085/999|Student Financial Aid|each||2.00|1999: 4 p.|
horticulture||||||govtprintingoffice||0. superseded|04-20-00|self cover / stitch|paper|021-086-00103-3|SB-086. Subject Bibliography 086. April 10, 2000. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 55|||||||Supersedes GP 3.22/2:086/998, S/N 021-086-00810- 1. Superseded by GP 3.22/2:086/2001, S/N 021-086- 00103-3.|0.00||Government Printing Office, Superintendent of Documents|||4/6/2001|021-086-00004-5|925||Trees, Forest Management and Products|each||2.00|2000: 5 p.|
||||||govtprintingoffice|Haulman, Daniel L.|0. out of print GPO|10-07-98|casebound|cloth||Reference Series. Covers Air Force humanitarian airlift operations. Designed to help planners to appreciate, in quantitative and qualitative terms, how airlift operations were conducted from 1947 to 1994. Item 422-M-01.|||0-16-049697-7||Reference Series, Humanitarian Airlift Operations, Air Force History, Military History, Airlift Operations||DSL 99-0002-S 10/29/98. NB1268|52.00||Defense Dept., Air Force History and Museums Program|discount||11-12-03|008-070-00741-0|059LQ|D 301.82/5:H 88|United States Air Force and Humanitarian Airlift Operations, 1947-1994|each||2.87|1998: 549 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|06-01-98|paper cover / stitch|paper||Agriculture Program Aid No. 1599. Discusses the threat and management of the Japanese Beetle for the Homeowner.|||0-16-049529-6||Agriculture Program Aid No. 1599, Agricultural Pests, Pests, Insects, Japanese Beetle||NB1266|2.00||Agriculture Dept., Animal and Plant Health Inspection Service|discount||8/28/2001|001-000-04652-7|900|A 1.68:1599|Managing the Japanese Beetle: A Homeowner's Handbook|each||0.18|1998: 16 p.; ill.|
||||||govtprintingoffice||0. superseded|05-04-99|paper cover / stitch|paper|003-004-00694-3|March 1999. Describes the registration process and filing requirements for trademarks. Contains sample written applications, drawings, and specimens. Also includes blank application forms, a list of patent and trademark depository libraries, information a|||||||Supersedes C 21.2:R 26/996, S/N 003-004-00682- 0. Superseded by S/N 003-004-00694-3.|4.00||Commerce Dept., Patent and Trademark Office|discount||7/31/2001|003-004-00689-7|021BC|C 21.2:T 67/4/998|Basic Facts About Trademarks 1999|each||2.50|1999: 31 p.; ill.|
||||||govtprintingoffice|Rostow, Eugene V.|0. out of print GPO|12-07-93|perfect binding|paper||Discusses the role of the United States in the peaceful functioning of the international state system. Includes sections on American diplomacy from 1759 to the present. According to the back cover, this book has also been published by Yale University Pres|||0-16-035969-4||Toward Managed Peace, National Security, Military History, Bonaparte, Napoleon||NB1239|36.00||Defense Dept., National Defense University|discount||7/23/2003|008-020-01266-1|098ZA 153BO|D 5.402:B 64|Breakfast for Bonaparte: United States National Security Interests From the Heights of Abraham to the Nuclear Age|each||1.93|1993: 523 p.; ill.|
||||||govtprintingoffice||0. superseded|06-02-98|paper cover / stitch|paper|006-000-01503-4|RI 76-12. Measures 9 x 4 in. Contains information for retired Federal employees about rights and benefits as an annuitant under the Federal Employees' Group Life Insurance Program. Summarizes the benefits payable; to whom benefits are paid; how to submit|||0-16-049559-8||||Superseded by S/N 006-000-01503-4. Also known as: Information for Retirees About the Federal Employees Group Life Insurance Program. DSL 98- 0269-P 06|1.00||Office of Personnel Management, Retirement and Insurance Service|discount||9/19/2000|006-000-01463-1|900|PM 1.10:RI 76-12/998|Federal Employees' Group Life Insurance Program|each||0.12|1998: 29 p. revised ed.|
||||||govtprintingoffice|Flournoy, Michele A.|0. out of print GPO|04-19-01|perfect binding|paper||Edited by Michele A. Flournoy. Provides the intellectual underpinnings of the final report of a major conference on the Quadrennial Defense Review 2001, held at the National Defense University in November 2000. Outlines a series of integrated paths that l|||1-57906-052-8||Conference on Quadrennial Defense Review 2001, Quadrennial Defense Review 2001, Strategy Driven Choices for Americas Security, Military Strategy, National Security||The price of this item has been reduced. This reduced price is reflected in the price field. No discounts are available for this item. Special value p|8.00||Defense Dept., National Defense University|no discount||10/20/2005|008-020-01494-0|153TH|D 5.402:ST 8/15|QDR 2001: Strategy-Driven Choices for America's Security|each||1.43|2001: 404 p.|
||||||govtprintingoffice||0. out of print GPO|11-24-99|paper cover / stitch|paper||Report on the Emerging Global Security Environment for the First Quarter of the 21st Century, Phase 1. Describes the major themes and implications of the first phase of a three phase project to decide if the institutions designed in another age may or may|||0-16-059171-6||Report on the Emerging Global Security Environment for the First Quarter of the 21st Century, Phase 1, American Security in the 21st Century, National Defense, National Security, Foreign Relations||NB1275|3.00||United States Commission on National Security, 21st Century|discount||8/24/2000|008-000-00745-4|075RT 153RH|PR 42.8:U 89|New World Coming: American Security in the 21st Century, Phase 1, Major Themes and Implications|each||2.00|1999: 12 p.|
||||||govtprintingoffice||0. superseded|08-23-00|paper cover / stitch|paper|001-000-04719-1|Home and Garden Bulletin 232. 5th edition. Publication measures 11 x 9 in. Promotes healthy diet to reduce the risk of chronic diseases such as heart disease, certain types of cancer, diabetes, stroke, and osteoporosis. Presents 10 Dietary Guidelines whic|||0-16-050376-0||||Supersedes A 1.77:232/995, S/N 001-000-04625- 0. Superseded by S/N 001-000-04719-1.|41.00||Agriculture Dept. and Health and Human Services Dept.|see note||1/21/2005|001-000-04681-1|291DB|A 1.77:232/2000|Nutrition and Your Health: Dietary Guidelines for Americans|package||9.31|2000: 39 p.; ill.|
||||||govtprintingoffice|Mark, Eduard|0. out of print GPO|05-21-99|paper cover / stitch|paper||Attempts to give the general reader some sense of the role the United States Air Force has played in Europe since the end of World War 2. Item 0422-M-01.|||||Air Force History and Museums Program, Air Force History, Military History||DSL 99-0256-P 06/03/99. NB1272|1.75||Defense Dept., Air Force, Air Force History and Museums Program|discount||03-28-07|008-070-00753-3|059LQ 153GC 289DG|D 301.82/7:D 36|Defending the West: The United States Air Force and European Security, 1946-1998|each||0.31|1999: 53 p.; ill.|
||||||govtprintingoffice|Stratemeyer, George E.|0. out of print GPO|10-15-99|perfect binding|paper||Contains the diary of Lt. Gen. George E. Stratemeyer, the Far East Air Forces commander during the Korean War. Edited by William T. Y'Blood primarily to make the text more readable. Covers the period from June 25, 1950 to May 20, 1951.|||0-16-050106-7||Diary of Lt. Gen. George E. Stratemeyer, Air Force History, Stratemeyer, George E., Korean Conflict, Military History||NB1274|19.50||Defense Dept., Air Force|discount||02-07-07|008-070-00754-1|054CP|D 301.82/7:K 84/2|Three Wars of Lt. Gen. George E. Stratemeyer: His Korean War Diary|each||3.00|1999: 587 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||specialty item|||The FR BASE file library contains 5 Federal Register files about military base closures.||multimedia|||Electronic Products, Federal Bulletin Board (BBS), Military Bases||THE FEDERAL BULLETIN BOARD PRODUCT. Internet access: telnet or FTP to fedbbs.access.gpo.gov. Dial-in access: 202-512-1387; Modem settings: 8 bits, Par|0.00||Base Closure Commission|||6/16/2000|021-610-00229-4|900||Base Closure Federal Register Information, FR_BASE (Federal Bulletin Board)|each||2.00||
||||||govtprintingoffice|Gillett, Mary C.|1. in stock / whse and/or retail / price|03-24-08|perfect binding|paper||CMH 30-8-1. Army Historical Series. Discusses medical activities in the U.S. Army from the inception of the modern Army Medical Department through the Civil War, with emphasis both on medical service in the far West and on clinical, scientific, and organi||||||||26.50||Defense Dept., Army, Center of Military History|discount|ZZZZZ|04-01-11|008-029-00152-7|||The Army Medical Department, 1818-1865 (Paperback)|each||1.68|1987: 371 p.; ill.|
||||||govtprintingoffice|Williams, Mary H.|1. in stock / whse and/or retail / price|02-11-99|casebound|cloth||CMH Pub. 11-1. United States Army in World War 2. Chronicles primarily the tactical events of World War 2, from theattack on Pearl Harbor on Dec. 7, 1941, to the surrender of Japan in Aug. 1945,with emphasis on ground action by United States armed forces.|||0-16-001876-5||Center of Military History Pub. 11 1, United States Army in World War 2, Special Studies, Chronology, 1941-1945, Army History, Military History, World War 2||Jan. 1982 SL 133N2|22.00||Defense Dept., Army, Office of the Chief of Military History|discount||05-20-11|008-029-00015-6|070KJ|D 114.7:C 46|United States Army in World War 2, Special Studies, Chronology, 1941-1945 (Clothbound)|each||3.50|1960: 660 p. 1984-repr.|
||||||govtprintingoffice||0. out of print GPO||paper cover / stitch|paper||NAVPUB P 3150-1. This booklet is designed to be used as a reference and guide for anyone involved in any phase of communicating information through oral briefings or presentations. Item 370-A.|||0-16-002007-7||NAVPUB P 3150-1, Communicate, Public Speaking||BIP. 1981 SL 7Q1 Mar. 1982 SL 14Q2 QC044N6 QC051Y7 QC052V7 GB1101 GB1102 GB1103 GB1104 GB1105 GB1106 GB1107 GB1108 GB1109 GB1110 GB1111. The price of|1.00||Defense Dept., Navy, Navy Publications and Printing Service|no discount||06-18-08|008-040-00090-7|087BC 131DH|D 201.6/12:C 73/3/980|Don't Talk: Communicate|each||0.25|1980: 47 p.; ill. 1987-repr.|
||||||govtprintingoffice|Jessup, John E., Jr.|0. out of print GPO|07-01-97|perfect binding|paper||CMH Pub. 70-3. Edited by John E. Jessup, Jr. and Robert W. Coakley. Contents of publication: Military history, its nature and use; Bibliographical guide; Army programs, activities, and uses; History outside the United States Army. L.C. card 78-606157. Ite|||0-16-001924-9||Center of Military History Publication 70 3, Use of Military History, Military History, Army History, Study and Use of Military History||1980 SL 41T0 QC011Y2 QC012V3 QC013R3 QC014N3 QC021Y4 QC022V4 QC023R4 QC024N4 QC031Y5 QC032V5 QC033R5|33.00||Defense Dept., Army, Center of Military History|discount||11/12/2003|008-029-00105-5|098|D 114.2:ST 9|Guide to the Study and Use of Military History|each||1.56|1979: 523 p.; ill.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|03-26-08|perfect binding|paper||CMH 100-9. American Forces in Action Series. Third of the three-volume account of the Allied campaign in Italy from the landings in September 1943 to operations preceding the landings at Anzio and the march on Rome.|||||American Forces in Action Series, Center of Military History Publication 100 9, World War 2|||7.50||Defense Dept., Army, Center of Military History|discount|ZZZZZ|07-25-11|008-029-00198-5|||Fifth Army at the Winter Line (15 November 1943 - 15 January 1944) (Paperback)|each||0.50|1945: 117 p.; ill. repr.|
||||||govtprintingoffice||0. out of print GPO|02-06-01|perfect binding|paper||Updates information about the nature of the global proliferation of nuclear, biological, and chemical weapons. Describes the policies and programs that the Defense Department is carrying out to counter this growing threat to American citizens, armed force|||0-16-042791-6||Weapons Systems, Nuclear Nonproliferation, Biological Weapons, Counterproliferation Initiative, Military Weapons, Strategic Forces, Nuclear Weapons, Chemical Weapons||Supersedes D 1.2:P 94/17/997, S/N 008-000-00721- 7. NB1282|18.00||Defense Dept., Office of the Secretary|discount||02-10-06|008-000-00836-1|043AG 153SS||Proliferation: Threat and Response, 2001|each||0.87|2001: 131 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||paper cover / stitch|paper||||||||||7.00||Commerce Dept.|discount||3/18/2004|003-009-00698-8|004GC 123CP 153KC||Effects of Imports of Uranium on the National Security, September 1989|each||2.00||
||||||govtprintingoffice||0. out of print GPO||paper cover / stitch|paper|||||||CAncelled stock Number||GPO sales stock never received. Requisition cancelled. G|10.00||Commerce Dept.|discount||4/7/2004|003-009-00699-6|900||Effects of Crude Oil and Refined Petroleum Product Imports on the National Security, January 1989|each||2.00||
||||||govtprintingoffice||0. out of print GPO||paper cover / stitch|paper|||||||||GPO sales copies never received. Sales discontinued. Requisition cancelled.|10.00||Commerce Dept.|discount||3/27/2003|003-009-00692-9|900||National Security Assessment of the United States Forging Industry - December 1992|each||2.00||
|cdrom|||||govtprintingoffice||0. superseded|11-26-01|specialty item||008-022-00332-1|EP 1110-1-8. Includes 2001 methodology and rate tables for all 12 regions (volumes). Establishes predetermined equipment ownership and operating expense rates for construction and marine equipment for each of the United States. Applies to all solicitation||multimedia|0-16-050994-7||||Supersedes D 103.43:1110-1-8/V.1-12/999/CD, S/N 008-022-00326-6. Superseded by S/N 008-022-00332- 1. Uses CHECKRATE Calculation Software. NB1287|20.00||Defense Dept., Army, Corps of Engineers|discount||9/9/2003|008-022-00327-4|216BE 308IR 314CO||Construction Equipment Ownership and Operating Expense Schedule, 2001 (CD-ROM)|each||0.31|2001: CD-ROM.|
||||||govtprintingoffice||0. superseded|07-03-01|self cover / stitch|paper|021-258-00206-0|SB-258. Subject Bibliography 258. June 19, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 3.22/2:258/2000, S/N 021-258-00007- 5. Superseded by GP 3.22/2:258/2002, S/N 021-258- 00206-0.|0.00||Government Printing Office, Superintendent of Documents|||7/3/2002|021-258-00106-3|925||Grants and Awards|each||2.00||
||||||govtprintingoffice|>Gammons, Stephen L. Y.|1. in stock / whse and/or retail / price|04-25-08|paper cover / stitch|paper||CMH Pub 19-7. U.S. Army in the Korean War. This brochure, one of a series commemorating the 5oth anniversary of the Korean war, covers the Un counteroffensive against North Korea, the crossing of the 38th parallel by UN forces, and the initial Chinese Com|||||United States Army in the Korean War, United Nations Offensive, Korean War|||2.00||Defense Dept., Army, Center of Military History|discount|ZZZZZ|11-09-10|008-029-00361-9|||The Korean War: The UN Offensive, 16 September - 2 November 1950|each||0.12|2000: 32 p.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|04-11-01|casebound|cloth||Includes the decisions and orders of the Board, a table of cases, and a cross reference index from the advance sheet numbers to the volume page numbers. Item 826.|||0-16-061633-6||National Labor Relations Board Decisions and Orders, V. 328, Labor Management Relations||NB1283|83.00||National Labor Relations Board|discount|ZDDNL|12-30-03|031-000-00372-5|064LD||Decisions and Orders of the National Labor Relations Board, V. 328, April 7, 1999 Through August 31, 1999|each||5.68|2001: 1344 p.|
||||||govtprintingoffice|Bodson, John J.|0. out of print GPO|12-19-97|paper cover / stitch|paper||Compiled by John J. Dodson. Edited by Rebecca Krafft. Lists, for United States manufacturers and exporters and individuals living or traveling abroad, the characteristics of electric current available and the type of attachment plugs used in principal cit|||0-16-054786-5||Electricity, Travel||Supersedes C 61.2:E1 2/4, S/N 003-008-00203-0. NB1264|3.00||Commerce Dept., International Trade Administration|discount||11/19/2003|003-009-00673-2|900|C 61.2:EL 2/4/998|Electric Current Abroad, 1998|each||0.12|1997: 30 p.; ill.|
||||||govtprintingoffice||0. see special note||perfect binding|paper||Labor Statistics Bureau Bulletin 2397. Provides data from a 1990 survey of occupational employment in mining, construction, finance, insurance, real estate, and selected services industries. Item 768-A-1.|||0-16-037928-8||Labor Statistics Bureau Bulletin 2397, Service Industries, Employment, Construction Industries, Mineral Industries, Financial Services||Supersedes L 2.3:2264, S/N 029-001-02911-0 and L 2.3:2330, S/N 029-001-03002-9. STOCK IS AVAILABLE AT CHICAGO CONSIGNED SALES AGENT ONLY. Forward all|9.00||Labor Dept., Labor Statistics Bureau, Office of Employment and Unemployment Statistics, Division of Occupational and Administration Statistics|discount||08-04-92|029-001-03121-1|900|L 2.3:2397|Occupational Employment in Mining, Construction, Finance, and Services, 1990|each||0.75|1992: 128 p.; ill.|
||||||govtprintingoffice||0. superseded|06-06-01|self cover / stitch|paper|021-064-00207-9|SB-064. Subject Bibliography 064. May 25, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552-|||||||Supersedes GP 3.22/2:064/2000, S/N 021-064-00006- 8. Superseded by Gp 3.22/2:064/2002, S/N 021-064- 00207-9.|0.00||Government Printing Office, Superintendent of Documents|||7/23/2002|021-064-00105-6|925||Labor-Management Relations|each||2.00|2001: 15 p.|
||||||govtprintingoffice||0. out of print GPO|08-27-01|perfect binding|paper||Presents data on 1999 mining and related activity in the countries and territories of Asia and the Pacific . Item 639.|||0-16-066424-1||Mines and Mineral Resources, Mineral Industries, Asia, Pacific||NB1286|28.00||Interior Dept., Geological Survey|discount|ZMY3|7/29/2003|024-004-02511-5|900||Minerals Yearbook, V. 3: Area Reports, International 1999, Asia and the Pacific|each||1.37|2001: 210 p.|
||||||govtprintingoffice||0. out of print GPO|11-21-01|casebound|cloth||Provides information on metallic and industrial mineral commodities important to the United States economy. Includes chapters on: survey methods; summary statistics for domestic nonfuel minerals; and trends in mining and quarrying in the metals and indust|||0-16-066457-8||Mines and Mineral Resources, Minerals, Mineral Industries||NB1287|29.00||Interior Dept., Geological Survey|discount|ZMY1|03-06-07|024-004-02512-3|151KM|I 19.165:999/V.1|Minerals Yearbook, V. 1, Metals and Minerals, 1999|each||7.50|2001: 1076 p.|
||||||govtprintingoffice|Hovland, Michael A.|0. out of print GPO|09-14-00|perfect binding|paper||POL/00-HEC. Issued July 2000. Describes the planning, execution, and publication of the 1997 economic census.|||0-16-061373-6||POL 00 HEC, Economic Statistics||NB1280|20.00||Commerce Dept., Economics and Statistics Administration, Census Bureau|discount||9/8/2003|003-024-08853-3|900||History of the 1997 Economic Census|each||1.00|2000: 168 p.|
||||||govtprintingoffice||0. out of print GPO|11-03-00|specialty item|||Form 7525-V. (7-25-2000). Related information titled the 'Correct Way to Fill Out the Shipper's Export Declaration' is available from the Bureau of the Census. 100 copies per pad; sold in pads only.|||0-16-061416-3||Form 7525 V, Shippers Export Declaration, Exports||Supersedes C 3.272:7525-V, S/N 003-024-06870- 2. NB1281|29.00||Commerce Dept., Economics and Statistics Administration, Census Bureau, and Bureau of Export Administration|discount||3/10/2004|003-024-08854-1|090CF||Shipper's Export Declaration, Form 7525-V|package||1.12|2000: 2 p.|
